Stock,Earnings Yield,Return on Capital,Market Cap
ACCELYA.NS,0.03387087682638826,0.22842162216925,18461593600
ACCURACY.NS,0.08709122990322438,0.13810181363738053,1205985664
ACE.NS,0.008505269693170548,0.2142430518083715,141276790784
ACEINTEG.NS,0.009299606046373423,0.013088610772601539,248268000
ACI.NS,0.02972821092055421,0.1765525549354517,65324445696
ACL.NS,-0.051835433371906874,0.5254035456347171,4895260160
ACMESOLAR.NS,0.05375022401159209,0.1063215144839796,115783589888
ADANIENSOL.NS,0.028161093430023196,0.09541534490911822,979103252480
ADANIENT.NS,0.0083608076140256,0.07511098393654858,2553854033920
ADANIGREEN.NS,0.010622190105561063,0.07524864770546152,1383708884992
ADANIPORTS.NS,0.03081731616184295,0.12231731066453791,2399581503488
ADANIPOWER.NS,0.027856487106436786,0.1154541653461734,1966846640128
ADFFOODS.NS,0.028664697235079143,0.2380776545987127,23807420416
ADL.NS,0.01766036390304587,0.02122088502056333,429825824
ADORWELD.NS,-0.005096720060849417,-0.03154118908221324,14888153088
ADROITINFO.NS,0.0028091839758911576,0.01769238905098406,620328960
ADSL.NS,0.02723681042375362,0.05230751301375185,9803754496
ADVANIHOTR.NS,-0.010091645394520789,-0.11059979189376672,5317802496
ADVENZYMES.NS,0.07404494438049244,0.19450458701269593,30235840512
AEGISLOG.NS,0.012402967689479192,0.1365373857083098,279263576064
AEROFLEX.NS,0.007441561632821916,0.17391304347826086,21692971008
AETHER.NS,0.009500596345253859,0.3570083631690707,107275083776
AFCONS.NS,0.038800414344685695,0.12083834628706708,156823519232
AFFLE.NS,0.007372542961202847,0.26957632485696803,203244830720
AFFORDABLE.NS,-0.0027884376562249454,-0.022228609253065777,4314978816
AFIL.NS,-0.00012840872617263924,-0.00012607497319756502,3200717056
AGARIND.NS,0.038613851118033726,0.2255367675114134,13794251776
AGARWALEYE.NS,0.007456748366737169,0.12456790439576117,131816718336
AGI.NS,0.0328669598119472,0.0847134401526026,47497441280
AGIIL.NS,0.017349409256464672,0.285508369657613,17207906304
AGRITECH.NS,-0.028722510941862997,-0.030038064579765246,777130240
AGROPHOS.NS,0.07365617419494493,0.11602089682194167,586732480
AGSTRA.NS,0.18559095850647817,0.12041710609668062,853757760
AHL.NS,-0.02886264180538596,-0.04461613988143598,8951987200
AHLADA.NS,0.1356915293688357,0.13157518262205434,724868096
AHLEAST.NS,-0.05682151706019081,-0.02274967300479195,2301596160
AHLUCONT.NS,0.02621823495836272,0.12262605080431606,53479546880
AIAENG.NS,0.025681220301440186,0.1698037893674247,288481345536
